Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount
Created,User_1,A_Create Application,Application,Application_1111111111,complete,2016-01-01 09:51:15.304000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_1,A_Submitted,Application,ApplState_1582051990,complete,2016-01-01 09:51:15.352000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_1,A_Concept,Application,ApplState_642383566,complete,2016-01-01 09:52:36.413000+00:00,,Existing loan takeover,New credit,Application_1111111111,
statechange,User_52,A_Accepted,Application,ApplState_99568828,complete,2016-01-02 11:23:04.299000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
Created,User_52,O_Create Offer,Offer,Offer_148581083,complete,2016-01-02 11:29:03.994000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_52,O_Created,Offer,OfferState_1514834199,complete,2016-01-02 11:29:05.354000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_52,O_Sent (mail and online),Offer,OfferState_2051164740,complete,2016-01-02 11:30:28.606000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_52,A_Complete,Application,ApplState_946455804,complete,2016-01-02 11:30:28.633000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_117,A_Validating,Application,ApplState_752879093,complete,2016-01-13 13:10:55.973000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_117,O_Returned,Offer,OfferState_1310330551,complete,2016-01-13 13:11:03.569000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_115,A_Incomplete,Application,ApplState_390139749,complete,2016-01-14 09:16:20.974000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_117,A_Validating,Application,ApplState_1264188685,complete,2016-01-14 13:39:51.556000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_115,O_Accepted,Offer,OfferState_1093322349,complete,2016-01-14 15:49:11.416000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
statechange,User_115,A_Pending,Application,ApplState_1179730815,complete,2016-01-14 15:49:11.420000+00:00,,Existing loan takeover,New credit,Application_1111111111,20000
Created,User_1,A_Create Application,Application,Application_1691306052,complete,2016-01-01 10:16:11.500000+00:00,,Home improvement,New credit,Application_1691306052,10000
